0Entropy,dLoss,1StdReturn,1MinReturn,0ProcessExecTime,1ProcessExecTime,1Entropy,0StdReturn,ComputeUpdatedDistTime,LossBefore,1ExplainedVariance,0ExplainedVariance,0MinReturn,0AveragePolicyStd,1AveragePolicyStd,0AverageReturn,1NumTrajs,Time,1Perplexity,0Perplexity,MeanKLBefore,1MaxReturn,ItrTime,0NumTrajs,1PolicyExecTime,1EnvExecTime,1AverageReturn,0MaxReturn,LossAfter,0PolicyExecTime,0EnvExecTime,MeanKL
2.83788,0.00159421343415,1206.49696954,0.0,1.5033509731292725,1.5376465320587158,2.84057,1263.09241051,1.0676963329315186,-3.34694050252e-10,0.0780641406004,0.123781725627,0.0,1.0,1.00135,267.25,400,241.44065761566162,17.1256,17.0795,2.50293030746e-09,13900.0,241.44066095352173,400,94.67691707611084,38.45174050331116,180.25,10500.0,-0.00159421376884,60.595009326934814,36.751680850982666,0.00715771922842
2.857,0.00120584515389,794.649254388,0.0,1.5573248863220215,1.491335153579712,2.85775,744.072409111,0.10626792907714844,-5.82076609135e-10,0.0679935378632,0.0441106930587,0.0,1.00961,1.00999,72.5,400,479.0695173740387,17.4223,17.4093,2.32829061586e-10,9600.0,236.65391516685486,400,87.64615797996521,38.73160791397095,102.75,9200.0,-0.00120584573597,63.02489352226257,37.592716217041016,0.00703172478825
2.84841,0.00229017966194,1155.73612905,0.0,1.5644261837005615,1.5151779651641846,2.84996,1167.42170508,0.12483334541320801,-2.91038304567e-10,0.0516019221292,0.0866794407292,0.0,1.00528,1.00606,218.75,400,717.4814004898071,17.287,17.2603,-1.86264437207e-09,15100.0,237.22931694984436,400,88.94892525672913,38.81122803688049,168.0,9300.0,-0.00229017995298,62.81149196624756,37.5583872795105,0.00793903041631
2.87852,0.00209948682459,1903.08538957,0.0,1.5654633045196533,1.5228307247161865,2.87512,1725.07905616,0.1265869140625,5.82076609135e-11,0.104136710965,0.101913389265,0.0,1.02053,1.0188,501.5,400,956.4988420009613,17.7275,17.788,3.95811872167e-09,12700.0,238.04782700538635,400,89.31361627578735,38.60820126533508,596.0,12600.0,-0.00209948676638,63.457112073898315,37.460368633270264,0.00843573920429
2.87727,0.00207923701964,2600.26340012,0.0,1.5667266845703125,1.5180842876434326,2.87812,1994.27305051,0.12579989433288574,-6.98491930962e-10,0.142736767775,0.0976643737918,0.0,1.0199,1.02033,575.0,400,1195.9693636894226,17.7808,17.7657,9.31323462794e-10,17700.0,238.16886973381042,400,88.55863213539124,38.657917976379395,880.5,16000.0,-0.00207923771814,63.84413027763367,37.63807034492493,0.00708612939343
2.88256,0.00152971909847,3002.3300847,0.0,1.5577828884124756,1.5526313781738281,2.88071,1993.64237954,0.1127779483795166,-6.98491930962e-10,0.130991114052,0.115285884234,0.0,1.02274,1.02181,569.75,400,1444.236085176468,17.8269,17.86,1.04773789644e-09,16300.0,247.2705681324005,400,97.9339771270752,38.50714898109436,913.75,15400.0,-0.00152971979696,63.464829206466675,37.698610067367554,0.0062299571
2.87599,0.00184703314153,3601.94071821,0.0,1.5733673572540283,1.5488243103027344,2.87039,2667.65697757,0.11326122283935547,1.01863406599e-10,0.12273458379,0.0878080665719,0.0,1.0196,1.01674,887.5,400,1684.450999736786,17.6439,17.7429,-1.86264581536e-09,17100.0,239.23865866661072,400,89.12293004989624,38.883930683135986,1315.75,17500.0,-0.00184703303967,63.87704372406006,38.045677185058594,0.00687967706472
2.87253,0.00161806517281,4246.68216818,0.0,1.541100263595581,1.5724003314971924,2.87216,2601.00450547,0.12647676467895508,9.31322574615e-10,0.133692896111,0.0790386548909,0.0,1.01797,1.01783,1000.75,400,1923.4648282527924,17.6751,17.6817,1.16415432849e-09,20700.0,237.96755361557007,400,88.94546675682068,38.934205055236816,1626.75,18300.0,-0.00161806424148,63.06397867202759,37.726128816604614,0.00694730971009
2.87239,0.0021500462899,6239.27167224,0.0,1.5540580749511719,1.5961170196533203,2.87091,2789.01416275,0.11220240592956543,1.16415321827e-10,0.184405976997,0.0563475910285,0.0,1.01771,1.01696,1240.0,400,2163.4615590572357,17.653,17.6792,1.68220335439e-08,21100.0,239.01615071296692,400,89.1496193408966,39.22789931297302,3283.0,13300.0,-0.00215004617348,63.74939465522766,37.644031047821045,0.00657274061814
2.86466,0.00301453960128,7901.04219391,0.0,1.5706794261932373,1.5218911170959473,2.86309,3180.19590592,0.13529229164123535,4.65661287308e-10,0.242392283073,0.047204492674,0.0,1.01359,1.01279,1452.0,400,2402.791718006134,17.5156,17.5431,9.31323462794e-10,21800.0,238.4247715473175,400,88.76802253723145,38.7279486656189,5063.5,17100.0,-0.00301453913562,64.04865384101868,37.71164560317993,0.00827658735216
