0MinReturn,LossAfter,0Perplexity,1PolicyExecTime,1MaxReturn,1ExplainedVariance,ItrTime,1AveragePolicyStd,0EnvExecTime,0PolicyExecTime,1NumTrajs,1StdReturn,1ProcessExecTime,1AverageReturn,0ProcessExecTime,MeanKL,0Entropy,1EnvExecTime,ComputeUpdatedDistTime,dLoss,0MaxReturn,Time,0ExplainedVariance,0NumTrajs,0AverageReturn,1MinReturn,1Entropy,1Perplexity,0StdReturn,0AveragePolicyStd,LossBefore,MeanKLBefore
0.0,-0.00105219706893,17.0794,271.3939423561096,10400.0,0.0526060292829,766.1520690917969,1.00022,141.49170804023743,167.47172284126282,2000,643.345746858,6.279156684875488,97.5,6.164673089981079,0.00569801684469,2.83788,148.45166993141174,1.0429892539978027,0.00105219642865,8500.0,766.1520669460297,0.05838279652,2000,79.65,0.0,2.83831,17.0869,545.234699464,1.0,-6.40284270048e-10,1.01864218449e-10
0.0,-0.00111379625741,17.0038,259.58994030952454,13600.0,0.0789368722955,781.6974964141846,0.997631,147.25327277183533,192.08840894699097,2000,1175.25596255,6.12695837020874,251.85,6.401355028152466,0.00712216086686,2.83344,146.52897882461548,0.2809629440307617,0.00111379655937,11800.0,1552.3239715099335,0.0713114636469,2000,218.5,0.0,2.83312,16.9984,1060.69682285,0.997789,3.01952240989e-10,-3.3032815594e-08
0.0,-0.00122206076048,16.8544,265.6493592262268,16700.0,0.100738555558,774.8475658893585,0.9935,145.80220079421997,180.70700335502625,2000,1609.94942778,6.344652891159058,372.2,6.387502908706665,0.00785830710083,2.82461,146.88563752174377,0.29596400260925293,0.0012220589997,16400.0,2331.9999549388885,0.0699572300195,2000,265.05,0.0,2.82483,16.8581,1346.28878681,0.993391,-1.76078174263e-09,3.37604499911e-09
0.0,-0.00202377163805,16.8449,233.77393221855164,18100.0,0.118337151259,719.6861441135406,0.992785,141.7730679512024,168.24035263061523,2000,2700.67237878,6.081192255020142,965.45,6.3666770458221436,0.00926677230746,2.82405,140.63869500160217,0.2267765998840332,0.00202377245296,16600.0,3056.1637444496155,0.0881725538127,2000,694.15,0.0,2.82339,16.8338,2203.60404281,0.99311,8.14907252789e-10,5.8207638709e-10
0.0,-0.00178055267315,16.6325,261.34387969970703,20900.0,0.148185165599,778.6415708065033,0.985448,145.91292095184326,181.2826337814331,2000,3881.0807451,6.577895879745483,1673.5,6.54726243019104,0.00955071579665,2.81136,150.0875084400177,0.2587003707885742,0.00178055320248,18400.0,3839.4895434379578,0.0907526127879,2000,1046.45,0.0,2.80855,16.5858,2998.78932196,0.986832,5.29325916432e-10,4.4237831176e-09
0.0,-0.00182597839739,16.3422,299.10468459129333,20300.0,0.172024049339,820.4400129318237,0.977495,147.2478792667389,181.84594130516052,2000,5523.37381475,6.78614354133606,2964.55,6.659955978393555,0.00867507047951,2.79375,155.65307092666626,0.25250864028930664,0.00182597892126,19100.0,4664.672760009766,0.0747168939194,2000,1689.55,0.0,2.79231,16.3187,3893.32580161,0.978195,5.23868948221e-10,-1.39698241863e-09
0.0,-0.00237665465102,16.3871,272.73551201820374,22000.0,0.215499891384,797.2894926071167,0.979094,151.84191226959229,185.31132125854492,2000,7070.44254273,6.537743330001831,4368.5,6.787504196166992,0.00653752544895,2.79649,150.76511001586914,0.28469038009643555,0.00237665435998,20500.0,5466.6684284210205,0.058399235805,2000,1838.25,0.0,2.79555,16.3716,3949.9394853,0.979548,-2.91038304567e-10,1.16415166396e-09
0.0,-0.00232893181965,16.247,287.79812598228455,22000.0,0.298445117273,806.5727069377899,0.974619,149.2424440383911,178.4417748451233,2000,8478.32828437,6.600148916244507,6795.05,6.717919588088989,0.0083392765373,2.78791,151.36494183540344,0.2960014343261719,0.00232893220527,20500.0,6278.172229766846,0.0589174577192,2000,2159.15,0.0,2.78641,16.2227,4498.2648074,0.975347,3.85625753552e-10,4.65666283311e-10
0.0,-0.00222499109805,15.7586,257.7302670478821,22800.0,0.353181475001,762.6923530101776,0.960067,148.02665972709656,172.25125241279602,2000,9286.75740827,6.043452501296997,8567.8,6.460302352905273,0.00729174073786,2.75739,149.00292420387268,0.28692007064819336,0.00222499097072,20900.0,7045.469024658203,0.0667908046956,2000,2344.0,0.0,2.7563,15.7415,4708.13275089,0.960586,-1.27329258248e-10,4.65660149329e-10
0.0,-0.00213743327186,15.2718,239.71007657051086,23100.0,0.386487598648,745.8835244178772,0.944567,146.95142221450806,180.982342004776,2000,9643.5343101,5.895902633666992,9494.9,6.26439356803894,0.00707808416337,2.72601,143.05212807655334,0.27567458152770996,0.00213743420318,22300.0,7795.835858821869,0.0645417665646,2000,2285.5,0.0,2.72365,15.2359,4633.07994211,0.945693,9.31322574615e-10,-9.31321020303e-10
0.0,-0.00246589560993,15.0729,252.00033450126648,23500.0,0.438429383564,756.2842931747437,0.938079,149.41272950172424,171.7692005634308,2000,9974.97437478,6.042733430862427,10596.65,6.237416744232178,0.00790733285248,2.7129,148.01712846755981,0.2839648723602295,0.00246589595918,21300.0,8556.63399362564,0.0764536302648,2000,2108.95,0.0,2.70952,15.0221,4333.6156841,0.939669,3.49245965481e-10,-1.49011096795e-08
0.0,-0.0029038360808,14.7765,265.1930847167969,23200.0,0.461509289692,765.9611694812775,0.930575,146.57442665100098,167.3296298980713,2000,9832.90620519,6.181462526321411,11516.6,6.123253345489502,0.00789735093713,2.69304,151.58225846290588,0.27431750297546387,0.00290383727406,22000.0,9327.259919404984,0.0783727338254,2000,1858.9,0.0,2.6935,14.7834,3941.27527458,0.930353,1.19325704873e-09,3.16649675369e-08
0.0,-0.00391865940765,14.492,290.40369176864624,23700.0,0.448790029484,827.9407324790955,0.92094,153.5532042980194,188.25139045715332,2000,9574.30849083,6.382777214050293,10505.65,6.469672441482544,0.00776829989627,2.6736,157.57368230819702,0.24224090576171875,0.0039186560316,21200.0,10159.71686244011,0.0686663644652,2000,1456.95,0.0,2.67277,14.4801,3476.96156112,0.921341,-3.37604433298e-09,1.86264259572e-09
0.0,-0.00378811894916,14.2785,348.2277948856354,23700.0,0.44996341536,944.772472858429,0.913599,163.62566924095154,227.05941486358643,2000,9995.34159884,6.738513946533203,10263.65,6.761050701141357,0.00742392940447,2.65875,168.0430669784546,0.28191399574279785,0.00378811956034,20900.0,11108.823413848877,0.0864043574911,2000,1719.5,0.0,2.65687,14.2515,3644.7098307,0.914451,6.11180439591e-10,-1.86264270674e-09
0.0,-0.00292868260294,14.0241,278.64924240112305,23600.0,0.474705147288,861.4848909378052,0.906472,160.07680487632751,231.99834823608398,2000,9848.36290342,6.190944194793701,11747.15,6.6379759311676025,0.00725994305685,2.64078,154.79706573486328,0.30082082748413086,0.00292868237011,22500.0,11975.479557991028,0.0803222203303,2000,1464.9,0.0,2.64139,14.0326,3191.1013757,0.906195,-2.32830643654e-10,-3.72528674575e-09
0.0,-0.00325695285574,13.5551,277.49838185310364,23700.0,0.506900423567,810.8303260803223,0.890162,151.76845169067383,190.68330669403076,2000,10371.7288143,6.129708290100098,9804.05,6.315161943435669,0.00686516892165,2.60677,154.00001215934753,0.25441813468933105,0.00325695419451,20900.0,12790.564735651016,0.0716821175006,2000,1532.35,0.0,2.60501,13.5314,3307.04225517,0.890944,1.33877620101e-09,0.0
0.0,-0.00297529972158,13.4173,278.37735176086426,23600.0,0.49371960537,810.5939824581146,0.887084,152.55858039855957,190.1334149837494,2000,10178.7321626,6.221056938171387,11651.25,6.28354024887085,0.0073621715419,2.59655,154.15739393234253,0.2809622287750244,0.00297530037642,18500.0,13605.646800518036,0.0883743337147,2000,1486.55,0.0,2.59808,13.4379,2923.264288,0.886404,6.54836185277e-10,1.86264259572e-09
0.0,-0.0035887924023,13.0482,276.59826040267944,24100.0,0.453717585378,807.3449242115021,0.874269,151.1324269771576,189.7687041759491,2000,9998.80361731,6.254038333892822,7815.85,6.30816388130188,0.00680529745296,2.56865,154.34068822860718,0.2544217109680176,0.00358879261694,14800.0,14417.533630371094,0.0660594714731,2000,1129.1,0.0,2.56894,13.052,2369.16297244,0.874138,2.14640749618e-10,-7.45057926466e-09
0.0,-0.00272841169499,12.9004,285.19599771499634,23600.0,0.545108886104,809.1277797222137,0.869234,151.96876764297485,182.20663213729858,2000,9876.29314558,6.195575952529907,13215.45,6.399729251861572,0.00744848838076,2.55726,153.98479771614075,0.23653125762939453,0.00272841167316,16100.0,15230.811533927917,0.0569396250259,2000,1095.05,0.0,2.55727,12.9006,2322.274854,0.869218,-2.18278728426e-11,3.72528496939e-09
0.0,-0.00387115823105,12.5706,286.7152876853943,23600.0,0.525357974787,803.9676578044891,0.857539,150.28713607788086,178.13121676445007,2000,9847.75474867,6.2036659717559814,11737.9,6.317683935165405,0.00701098050922,2.53136,153.5208604335785,0.24193525314331055,0.00387115966441,18200.0,16039.077612161636,0.050644679237,2000,965.7,0.0,2.53025,12.5566,2119.52200036,0.858009,1.43336364999e-09,3.72528474735e-09
0.0,-0.0049239359796,12.2309,278.2989468574524,23600.0,0.521029328928,800.5820524692535,0.845525,151.636057138443,178.694495677948,2000,9928.62564054,6.114668130874634,9248.3,6.378880023956299,0.00992695987225,2.50397,152.9960458278656,0.24724960327148438,0.00492393584318,14000.0,16843.86120724678,0.050486548095,2000,1022.6,0.0,2.50209,12.208,2076.55706399,0.846305,-1.36424205266e-10,-3.72528519144e-09
0.0,-0.00314511102624,11.8549,268.1822156906128,23800.0,0.573298157819,790.1601428985596,0.833385,152.4613060951233,182.88222670555115,2000,9778.86647202,6.116039514541626,14164.85,6.330873250961304,0.00738769210875,2.47274,151.63944482803345,0.2819693088531494,0.00314511310717,14300.0,17638.228986263275,0.0521008383711,2000,1016.8,0.0,2.47335,11.8621,2081.25629368,0.83313,2.08092387766e-09,0.0
0.0,-0.00515734311193,11.2883,241.1884171962738,23500.0,0.56276404429,726.9654171466827,0.812672,145.0837345123291,160.63261532783508,2000,9313.43938564,5.845356225967407,13229.1,6.149127006530762,0.00970073509961,2.42377,145.49171614646912,0.2716186046600342,0.00515734520741,12300.0,18369.288425683975,0.056145283805,2000,951.1,0.0,2.423,11.2797,1915.61185787,0.812983,2.09547579288e-09,0.0
0.0,-0.00576500967145,11.0325,240.30422806739807,23000.0,0.553148724634,726.0332508087158,0.803461,144.8292088508606,161.57159686088562,2000,8390.2780012,5.903609275817871,10400.25,6.125844240188599,0.00645676022395,2.40084,144.87174606323242,0.26498937606811523,0.00576501031173,10200.0,19100.04074883461,0.0542461299666,2000,861.55,0.0,2.40022,11.0256,1781.98950544,0.803711,6.40284270048e-10,-3.72528541348e-09
0.0,-0.00573966838419,10.7333,242.16381978988647,22900.0,0.521899017635,729.1333758831024,0.79255,146.6223201751709,160.82407093048096,2000,8691.67322427,5.912771701812744,10718.75,6.178090333938599,0.00663962913677,2.37335,144.97923374176025,0.26227450370788574,0.00573966490629,9000.0,19833.42244362831,0.068914327465,2000,759.95,0.0,2.37287,10.7282,1684.4200775,0.79274,-3.47790773958e-09,3.72528474735e-09
0.0,-0.00659401435405,10.3837,241.8939814567566,23500.0,0.524306330105,727.7160656452179,0.780531,144.98693919181824,160.94610404968262,2000,8931.82970673,5.956677675247192,10455.3,6.192223310470581,0.00923445448279,2.34024,145.58951902389526,0.25858354568481445,0.00659401297162,8000.0,20565.423238277435,0.0664376028495,2000,772.5,0.0,2.34227,10.4049,1712.96635986,0.779745,-1.38243194669e-09,-3.72528474735e-09
0.0,-0.00602233642712,10.1279,241.2569649219513,23300.0,0.560002581299,730.1019825935364,0.77037,145.28103590011597,161.4896113872528,2000,8742.54564701,5.955402374267578,12541.9,6.115876197814941,0.00862396229059,2.31529,146.10130667686462,0.27545714378356934,0.00602233663813,13200.0,21299.37124300003,0.0654834432721,2000,896.95,0.0,2.31598,10.1349,1927.49207456,0.770098,2.11002770811e-10,-7.45057127105e-09
0.0,-0.00493187922984,9.7794,232.65565633773804,23600.0,0.582669450664,715.5578830242157,0.756999,144.0334439277649,158.1600215435028,2000,9275.33038549,5.9377171993255615,13456.8,6.09992241859436,0.0086234267801,2.28028,146.02224826812744,0.2895646095275879,0.00493188085966,14400.0,22019.111385822296,0.0674768526652,2000,763.3,0.0,2.28104,9.78683,1745.28883283,0.756714,1.62981450558e-09,-7.45057127105e-09
0.0,-0.00368168111891,9.49069,230.83294320106506,23500.0,0.560754421478,728.6094536781311,0.745483,145.9206178188324,171.63280057907104,2000,9362.40491327,5.816511631011963,13986.8,6.102872848510742,0.0070952619426,2.25031,145.87248826026917,0.29511237144470215,0.00368167925626,9200.0,22751.706203699112,0.0685815898021,2000,829.35,0.0,2.25043,9.49182,1766.74094805,0.745438,-1.86264514923e-09,-2.23517240272e-08
