1Perplexity,MeanKLBefore,0ExplainedVariance,1StdReturn,0MaxReturn,LossBefore,0NumTrajs,dLoss,Time,0AveragePolicyStd,0AverageReturn,1AverageReturn,1PolicyExecTime,1Entropy,0PolicyExecTime,1ProcessExecTime,1NumTrajs,0StdReturn,1AveragePolicyStd,MeanKL,0EnvExecTime,0Entropy,1ExplainedVariance,1MinReturn,ComputeUpdatedDistTime,0Perplexity,1MaxReturn,ItrTime,0MinReturn,0ProcessExecTime,1EnvExecTime,LossAfter
17.0546,-4.69994876351e-10,0.0119047771177,118.278273575,900.0,-1.16415210805e-11,400,5.82077164246e-11,213.9661991596222,1.0,11.25,14.5,62.161704540252686,2.83642,20.1684308052063,1.9994797706604004,400,79.0470587688,0.999282,-1.37184930082e-09,49.00191783905029,2.83788,0.0196455639387,0.0,6.027508974075317,17.0795,1600.0,213.96620392799377,0.0,1.997722864151001,51.703242778778076,-6.98492375051e-11
17.0991,3.2596292332e-10,0.00723718515889,9.98749217772,600.0,0.0,400,0.0,424.4341444969177,1.0,3.25,0.5,61.99534773826599,2.83902,26.30967879295349,1.7783830165863037,400,38.9157744366,1.00058,-6.51925624595e-10,49.34945273399353,2.83788,0.00573871571008,0.0,0.4326457977294922,17.0795,200.0,209.07632875442505,0.0,1.9052889347076416,50.476385831832886,0.0
17.0629,2.95694957408e-09,0.0133607463262,75.1664818919,900.0,-3.37604499911e-10,400,1.97906024901e-10,631.8283183574677,1.0,16.0,10.0,62.873231410980225,2.83691,25.536052942276,1.8704168796539307,400,88.0,0.999526,6.45378528397e-10,48.80333685874939,2.83788,0.00901910617163,0.0,0.44486522674560547,17.0795,800.0,206.28159427642822,0.0,1.8087124824523926,50.81267213821411,-5.35510524813e-10
17.0552,-7.21774751078e-10,0.00940892267386,45.6042761153,1300.0,-1.18743626043e-09,400,6.98492375051e-11,845.8581233024597,1.0,5.0,4.5,69.40250706672668,2.83645,22.631121158599854,1.9304170608520508,400,67.6387462923,0.999297,-3.49245798947e-10,48.5015664100647,2.83788,0.0053265178268,0.0,0.43967509269714355,17.0795,500.0,212.43716073036194,0.0,1.96199631690979,53.12434482574463,-1.25728549794e-09
17.1329,5.29282973005e-09,0.015357057955,655.434016511,700.0,-3.2596292332e-10,400,1.62981406149e-10,1071.397497177124,1.0,9.75,57.5,72.09198093414307,2.841,28.638723134994507,2.0288026332855225,400,61.8864888324,1.00158,-1.0010630519e-10,51.27152943611145,2.83788,0.0382464606222,0.0,0.4575810432434082,17.0795,12800.0,224.2756769657135,0.0,1.9242329597473145,53.38936471939087,-4.88944329469e-10
17.0909,4.89526308378e-10,0.0496000317892,629.695908753,1500.0,-3.83006382165e-09,400,2.32831531832e-11,1292.771140575409,1.0,15.25,55.75,71.09647417068481,2.83855,24.435120582580566,1.9670484066009521,400,107.202786811,1.00034,1.04832431624e-09,51.42407965660095,2.83788,0.0213499673591,0.0,0.4716322422027588,17.0795,12200.0,220.13871264457703,0.0,2.0266497135162354,53.3740599155426,-3.85334697484e-09
17.0934,-3.43425038407e-10,0.00360437055855,83.8149002266,600.0,4.88944329469e-10,400,-3.43425288207e-10,1514.739598274231,1.0,3.5,12.25,70.82865500450134,2.83869,26.24295711517334,2.140183448791504,400,37.2525166935,1.00042,1.04773745235e-10,51.29936647415161,2.83788,0.0184949983893,0.0,0.417360782623291,17.0795,1100.0,220.73276019096375,0.0,1.9796075820922852,53.68630814552307,8.32369617676e-10
17.1004,-1.8044393757e-10,0.00475762207005,111.210386206,600.0,1.42026701511e-09,400,4.65661953442e-11,1745.0388729572296,1.0,5.25,13.5,71.48592782020569,2.8391,32.65644645690918,2.0141561031341553,400,50.4721457836,1.00062,6.22821960672e-10,51.63727402687073,2.83788,0.0121355451641,0.0,0.4507315158843994,17.0795,1700.0,229.0402808189392,0.0,2.103440999984741,54.09256839752197,1.37370081976e-09
17.091,-4.45492198686e-10,0.0164080695079,101.118433038,1300.0,2.32830282831e-11,400,1.62981475538e-10,1977.7614760398865,1.0,8.75,12.25,67.85797548294067,2.83855,32.37347459793091,2.0244500637054443,400,84.5484328654,1.00034,-1.34081412639e-10,51.65426278114319,2.83788,0.0134001874312,0.0,0.5353636741638184,17.0795,1200.0,231.5580596923828,0.0,1.9060561656951904,52.29234290122986,-1.39698447255e-10
17.0842,-2.09247230654e-10,0.0151221689561,62.1686215064,500.0,1.39698363988e-10,400,4.65660843219e-11,2186.1874861717224,1.0,3.25,7.75,68.06298542022705,2.83816,19.066408157348633,1.9546658992767334,400,34.1238552922,1.00014,-4.53719423144e-10,49.65414357185364,2.83788,0.00508133594754,0.0,0.46458888053894043,17.0795,900.0,207.39926934242249,0.0,1.9538285732269287,51.331809520721436,9.3132279666e-11
17.0922,5.18048159925e-10,0.0184028558512,156.04406429,900.0,5.35510524813e-10,400,-4.42378134125e-10,2393.9068098068237,1.0,9.0,24.5,68.33970618247986,2.83862,22.046865701675415,2.001194715499878,400,64.5677938294,1.00039,-5.15137155155e-10,49.29508638381958,2.83788,0.0136115347439,0.0,0.4278838634490967,17.0795,1900.0,206.56681394577026,0.0,1.8529479503631592,50.573522090911865,9.77888658937e-10
17.0827,9.09494424217e-11,0.0094967368551,66.8762850344,900.0,-1.51339918375e-09,400,-1.39698363988e-10,2604.253928899765,1.0,7.0,7.25,65.2851676940918,2.83807,21.982785940170288,1.863046407699585,400,64.4282546714,1.0001,-5.55155366122e-10,49.30697536468506,2.83788,0.0135100952808,0.0,0.3985884189605713,17.0795,900.0,209.16490268707275,0.0,1.9768900871276855,50.67759680747986,-1.37370081976e-09
17.0784,-5.82076704544e-12,0.00633435095359,76.9573745654,200.0,4.65661287308e-10,400,-2.79396783487e-10,2808.5214805603027,1.0,0.75,7.25,66.1012761592865,2.83781,17.33926010131836,1.948807716369629,400,11.1551557587,0.999969,-1.16415294071e-10,49.56471610069275,2.83788,0.00717520555242,0.0,0.4522981643676758,17.0795,1400.0,203.21187019348145,0.0,1.8435571193695068,51.07829833030701,7.45058070795e-10
17.0802,-1.16415297541e-11,0.00173414231974,107.528775219,600.0,3.95812077558e-10,400,1.52795137653e-10,3019.0017759799957,1.0,1.5,12.75,63.9864068031311,2.83792,25.418800354003906,1.8540232181549072,400,29.9624765332,1.00002,-2.09547573737e-10,50.892611265182495,2.83788,0.0100442466449,0.0,0.3948805332183838,17.0795,1800.0,209.29912090301514,0.0,1.979952096939087,50.76764798164368,2.43016939905e-10
17.0932,-1.98488225855e-09,0.0101813471075,118.91987849,1300.0,1.01863417701e-09,400,-9.31321686437e-11,3229.0631980895996,1.0,10.25,18.25,64.49735283851624,2.83868,24.08771848678589,1.9559614658355713,400,86.7175731902,1.00041,-2.47964671019e-09,49.28993630409241,2.83788,0.0127770120168,0.0,0.527557373046875,17.0795,1800.0,208.90092134475708,0.0,1.86920166015625,50.6111159324646,1.11176634565e-09
17.0945,-1.90516644127e-10,0.00465588558573,24.9687304443,1000.0,-7.45058070795e-10,400,-9.3132279666e-11,3434.6854848861694,1.0,3.0,1.25,64.27904653549194,2.83876,20.56151008605957,1.84476637840271,400,50.4083326445,1.00045,7.14612591324e-10,49.38922572135925,2.83788,0.00211143479242,0.0,0.4633915424346924,17.0795,500.0,204.4329390525818,0.0,1.9660365581512451,50.23977279663086,-6.51925791129e-10
17.0831,-3.05590081018e-10,0.0160043152961,156.642706501,900.0,2.51457077383e-09,400,2.09547268426e-10,3646.281649827957,1.0,8.5,24.25,67.5825560092926,2.83809,24.28230381011963,1.9494481086730957,400,72.991437854,1.00011,1.48429574187e-10,49.53198552131653,2.83788,0.0248713336151,0.0,0.4250762462615967,17.0795,1800.0,210.3664631843567,0.0,1.902893304824829,50.42627167701721,2.3050235054e-09
17.0872,-2.19733592433e-10,0.00802129909557,93.7333318516,600.0,8.96397955863e-10,400,-5.55111512313e-17,3848.5187520980835,1.0,6.75,13.75,63.15419673919678,2.83833,21.41354250907898,1.7961862087249756,400,53.192457172,1.00023,-4.10364242587e-10,49.560718059539795,2.83788,0.0209754803302,0.0,0.42102956771850586,17.0795,1000.0,201.10154008865356,0.0,1.8307764530181885,49.335856437683105,8.96398011374e-10
17.0776,-2.3828782697e-11,0.00676514607159,0.0,1000.0,0.0,400,0.0,4038.9373548030853,1.0,4.0,0.0,57.98815035820007,2.83777,19.61835741996765,1.7885394096374512,400,54.626001135,0.999948,1.85536877528e-10,46.98226308822632,2.83788,1,0.0,0.4097113609313965,17.0795,0.0,189.32017159461975,0.0,1.736752986907959,47.45203495025635,0.0
17.1094,9.4610694279e-11,0.010968210583,110.877184308,600.0,-5.58793566974e-10,400,1.39698363988e-10,4237.687427997589,1.0,10.25,12.5,62.21622109413147,2.83963,20.586008071899414,1.9534530639648438,400,70.1422661453,1.00088,4.55498416763e-10,47.50117063522339,2.83788,0.0100437969939,0.0,0.448854923248291,17.0795,1800.0,196.88379192352295,0.0,1.9271800518035889,50.13574433326721,-6.98491930962e-10
17.0781,1.81423959189e-10,0.00289601572054,31.0553940564,400.0,1.63709046319e-09,400,1.3969847501e-10,4430.279878616333,1.0,1.75,3.25,59.00866484642029,2.8378,18.613402366638184,1.8517303466796875,400,24.9386747844,0.999965,4.84103923615e-10,48.52992796897888,2.83788,0.00572866189385,0.0,0.4526517391204834,17.0795,400.0,191.49328875541687,0.0,1.943854570388794,48.02259564399719,1.49739198818e-09
17.0546,-2.21189039307e-10,0.0036125189141,71.9022774326,700.0,4.65661287308e-10,400,-9.3132279666e-11,4619.46760559082,1.0,3.25,10.25,57.68552231788635,2.83642,16.57380962371826,1.7778759002685547,400,38.9157744366,0.999275,6.22822182716e-10,47.16862964630127,2.83788,0.0112824402436,0.0,0.4311048984527588,17.0795,800.0,188.0513527393341,0.0,1.7666187286376953,47.17310357093811,5.58793566974e-10
17.0726,-9.31322380326e-11,0.00781390102688,256.64165192,900.0,-7.45058015283e-10,400,-9.3132279666e-11,4808.264376163483,1.0,7.0,20.25,57.926533460617065,2.83747,19.203701496124268,1.8109135627746582,400,65.9621103362,0.999807,2.44472286859e-09,47.14179730415344,2.83788,0.00917771063578,0.0,0.40871214866638184,17.0795,5000.0,187.75475764274597,0.0,1.7531418800354004,47.85120487213135,-6.51925735617e-10
17.0772,-2.1245781523e-10,0.00785010281266,231.850032348,1100.0,1.42317735374e-09,400,-2.18278728426e-10,4988.5001339912415,1.0,4.5,19.25,50.23206830024719,2.83775,17.981609106063843,1.7532265186309814,400,61.0716791975,0.999935,7.42148148491e-11,46.381890535354614,2.83788,0.00807888530859,0.0,1.0296134948730469,17.0795,3600.0,179.1472499370575,0.0,1.7278313636779785,45.900742530822754,1.64145608217e-09
17.1113,6.04054528619e-10,0.0133963554951,51.0661335916,1100.0,3.64379970641e-09,400,2.56113796837e-10,5175.905629396439,1.0,9.5,6.5,52.251206159591675,2.83974,23.464372634887695,1.767347812652588,400,76.8748983739,1.00094,2.43167180836e-10,46.809221029281616,2.83788,0.011894447828,0.0,0.3947157859802246,17.0795,700.0,186.32347798347473,0.0,1.7495067119598389,46.894164085388184,3.38768590957e-09
